31	10.69999981	7.98491621
-31	10.69999981	7.98491621
29	10.69999981	7.98491621
27	10.69999981	7.98491621
25	10.69999981	7.98491621
23	10.69999981	7.98491621
21	10.69999981	7.98491621
19	10.69999981	7.98491621
17	10.69999981	7.98491621
15	10.69999981	7.98491621
13	10.69999981	7.98491621
11	10.69999981	7.98491621
9	10.69999981	7.98491621
7	10.69999981	7.98491621
5	10.69999981	7.98491621
3	10.69999981	7.98491621
1	10.69999981	7.98491621
-1	10.69999981	7.98491621
-3	10.69999981	7.98491621
-5	10.69999981	7.98491621
-7	10.69999981	7.98491621
-9	10.69999981	7.98491621
-11	10.69999981	7.98491621
-13	10.69999981	7.98491621
-15	10.69999981	7.98491621
-17	10.69999981	7.98491621
-19	10.69999981	7.98491621
-21	10.69999981	7.98491621
-23	10.69999981	7.98491621
-25	10.69999981	7.98491621
-27	10.69999981	7.98491621
-29	10.69999981	7.98491621
-30	10.69999981	7.98491621
30	10.69999981	7.98491621
18	10.69999981	7.98491621
16	10.69999981	7.98491621
14	10.69999981	7.98491621
10	10.69999981	7.98491621
6	10.69999981	7.98491621
-2	10.69999981	7.98491621
-12	10.69999981	7.98491621
-20	10.69999981	7.98491621
8	10.69999981	7.98491621
4	10.69999981	7.98491621
-3.55271E-15 10.69999981 7.98491621
2	10.69999981	7.98491621
-18	10.69999981	7.98491621
-16 10.69999981	7.98491621
-22	10.69999981	7.98491621
-10	10.69999981	7.98491621
-8	10.69999981	7.98491621
-14	10.69999981	7.98491621
-6	10.69999981	7.98491621
-4	10.69999981	7.98491621
20	10.69999981	7.98491621
22	10.69999981	7.98491621
24	10.69999981	7.98491621
-28	10.69999981	7.98491621
-26	10.69999981	7.98491621
12	10.69999981	7.98491621
28	10.69999981	7.98491621
26	10.69999981	7.98491621
-24	10.69999981	7.98491621
